player_name,type_name,outcome_name,x,y,end_x,end_y,prog_carry,prog_pass,pass_into_box,pass_cross
Kyle Walker,Pressure,,69.6,50.8,0.0,0.0,0,0,0,0
Kyle Walker,Foul Committed,,69.6,50.8,0.0,0.0,0,0,0,0
Nathan Aké,Pass,,50.1,16.3,37.1,24.1,0,0,0,0
Nathan Aké,Ball Receipt,,41.0,25.0,0.0,0.0,0,0,0,0
Nathan Aké,Carry,,41.0,25.0,41.0,25.0,0,0,0,0
Nathan Aké,Pass,,41.0,25.0,27.0,36.5,0,0,0,0
Denzel Dumfries,Ball Receipt,,28.3,74.9,0.0,0.0,0,0,0,0
Denzel Dumfries,Carry,,28.3,74.9,27.8,74.9,0,0,0,0
Denzel Dumfries,Pass,,27.8,74.9,16.9,63.9,0,0,0,0
Denzel Dumfries,Ball Receipt,,37.9,78.1,0.0,0.0,0,0,0,0
Denzel Dumfries,Carry,,37.9,78.1,40.2,76.5,0,0,0,0
Denzel Dumfries,Pass,Pass Offside,40.2,76.5,83.5,75.9,0,1,0,0
Kyle Walker,Ball Receipt,,42.2,58.1,0.0,0.0,0,0,0,0
Kyle Walker,Carry,,42.2,58.1,47.3,59.4,0,0,0,0
Kyle Walker,Dribble,Complete,47.3,59.4,0.0,0.0,0,0,0,0
Kyle Walker,Carry,,47.3,59.4,56.1,64.8,1,0,0,0
Kyle Walker,Pass,,56.1,64.8,63.5,66.9,0,0,0,0
Bukayo Saka,Ball Receipt,,63.5,66.9,0.0,0.0,0,0,0,0
Bukayo Saka,Pass,,63.5,66.9,62.9,54.4,0,0,0,0
Denzel Dumfries,Ball Receipt,,21.9,78.7,0.0,0.0,0,0,0,0
Denzel Dumfries,Carry,,21.9,78.7,21.9,78.7,0,0,0,0
Denzel Dumfries,Pass,,21.9,78.7,21.5,61.4,0,0,0,0
Kyle Walker,Pressure,,20.2,33.7,0.0,0.0,0,0,0,0
Denzel Dumfries,Pressure,,27.5,53.4,0.0,0.0,0,0,0,0
Bukayo Saka,Ball Receipt,,106.8,59.0,0.0,0.0,0,0,0,0
Bukayo Saka,Carry,,106.8,59.0,106.8,55.4,0,0,0,0
Bukayo Saka,Pass,Incomplete,106.8,55.4,115.1,35.5,0,0,1,0
Denzel Dumfries,Ball Receipt,,31.7,78.3,0.0,0.0,0,0,0,0
Denzel Dumfries,Carry,,31.7,78.3,27.0,77.8,0,0,0,0
Denzel Dumfries,Pass,,27.0,77.8,13.0,65.0,0,0,0,0
Nathan Aké,Ball Receipt,,30.1,21.9,0.0,0.0,0,0,0,0
Nathan Aké,Carry,,30.1,21.9,34.7,25.0,0,0,0,0
Nathan Aké,Pass,,34.7,25.0,38.8,33.7,0,0,0,0
Kyle Walker,Pressure,,73.4,66.4,0.0,0.0,0,0,0,0
Bukayo Saka,Pressure,,62.1,73.8,0.0,0.0,0,0,0,0
Bukayo Saka,Duel,Won,63.0,73.4,0.0,0.0,0,0,0,0
Bukayo Saka,Carry,,63.0,73.4,80.7,63.4,1,0,0,0
Bukayo Saka,Pass,,80.7,63.4,88.6,47.0,0,0,0,0
Bukayo Saka,Ball Recovery,,83.5,46.4,0.0,0.0,0,0,0,0
Bukayo Saka,Carry,,83.5,46.4,89.6,15.5,0,0,0,0
Bukayo Saka,Pass,,89.6,15.5,77.2,26.1,0,0,0,0
Kyle Walker,Ball Receipt,,77.7,61.4,0.0,0.0,0,0,0,0
Kyle Walker,Carry,,77.7,61.4,77.7,61.4,0,0,0,0
Kyle Walker,Pass,,77.7,61.4,81.4,49.9,0,0,0,0
