Player Name,Image URL,Position,Footed,Physical,Born,National Team,Club,age_years,lb_overall_score_z,progression_score_z,penetration_score_z,chance_score_z,width_score_z,retention_score_z,defense_score_z,discipline_score_z
Joshua Kimmich,https://fbref.com/req/202302030/images/headshots/49296448_2022.jpg,"DF-MF (DM-FB, right)",Right,"176cm, 69kg (5-9½, 154lb)","February 8, 1995 (Age: 30-297d) in Rottweil, Germany",Germany de,Bayern Munich,30,2.8762707973120825,2.5473463902570703,1.8935691751520525,4.420685826203226,2.065413534833118,-0.6756625185712257,0.9768069989477406,-1.3732024628323891
Jules Koundé,https://fbref.com/req/202302030/images/headshots/4d1666ff_2022.jpg,"DF (CB-FB, right)",Right,"178cm, 69kg (5-10, 154lb)","November 12, 1998 (Age: 27-020d) in Paris, France",France fr,Barcelona,27,2.645809035152938,1.94526675335301,2.8146172670540484,2.357904909213397,1.7585888488981682,-1.3278967698883657,1.6902823594619751,-0.1469985345550547
Ferdi Erenay Kadıoğlu,https://fbref.com/req/202302030/images/headshots/66c52a77_2022.jpg,DF-MF (FB),Right,"173cm, 63kg (5-8, 141lb)","October 7, 1999 (Age: 26-056d) in Gemeente Arnhem, Netherlands",Turkey tr  Other: Netherlands,Brighton & Hove Albion,26,2.12496469593775,1.7133249337226748,0.8553845309488795,3.19258280465617,1.0455642458986265,-0.4758987451604003,0.9055854993716748,0.6885002595512133
Kyle Walker,https://fbref.com/req/202302030/images/headshots/984a5a64_2022.jpg,DF-MF (FB),Right,"173cm, 63kg (5-8, 139lb)","April 13, 1997 (Age: 28-233d) in London, England, United Kingdom",England eng,West Ham United,28,1.8530086044760803,3.1188184461398514,1.0525078716009415,-0.4950890669856385,1.0539176493903633,0.0976265536608302,1.3372204196190458,0.2130787168734134
Marc Cucurella Saseta,https://fbref.com/req/202302030/images/headshots/1daec722_2022.jpg,"DF-MF (FB-WM, left)",Left,"175cm, 68kg (5-9, 150lb)","July 22, 1998 (Age: 27-133d) in Alella, Spain",Spain es,Chelsea,27,1.833856542789691,1.2771744522537043,1.040462341684919,1.3837478916636132,1.4960677596190977,0.39423486014296,1.972729784199598,-0.7940492230309444
Nathan Aké,https://fbref.com/req/202302030/images/headshots/eaeca114_2022.jpg,"DF-MF (CB-FB, left)",Left,"180cm, 74kg (5-11, 165lb)","February 18, 1995 (Age: 30-287d) in The Hague, Netherlands",Netherlands nl,Manchester City,30,1.7851230427536726,1.8948308183792564,0.2683512562288498,1.2772648820450938,0.1226234931853555,1.175974366025185,2.079354313606562,-0.0619078039170776
Vladimír Coufal,https://fbref.com/req/202302030/images/headshots/fdf3cb77_2022.jpg,"DF-MF (FB, right)",Right,"174cm, 69kg (5-8½, 154lb)","August 22, 1992 (Age: 33-102d) in Liberec, Czech Republic",Czech Republic cz,Hoffenheim,33,1.7445742349862912,0.5926416020490161,2.453118007929186,2.6971547131548896,0.8211245475494294,-1.6478178741290057,1.2661733948834617,-0.5546515084975152
Denzel Dumfries,https://fbref.com/req/202302030/images/headshots/481c9ece_2022.jpg,"DF-MF (FB-WM, right)",Right,"188cm, 79kg (6-2, 176lb)","April 18, 1996 (Age: 29-228d) in Rotterdam, Netherlands",Netherlands nl  Other: Aruba,Internazionale,29,1.650136001754491,1.3655966656575735,2.8932807700423138,1.0783931556178323,1.6495467362293958,-1.617934112250666,0.6942261246534392,-1.1899041853619707
Theo Bernard François Hernández,https://fbref.com/req/202302030/images/headshots/d4c9725f_2022.jpg,"DF-MF (FB, left)",Left,"184cm, 78kg (6-½, 172lb)","October 6, 1997 (Age: 28-057d) in Marseille, France",France fr,Al-Hilal,28,1.4858246100867445,1.811245961311364,2.0651641928155344,0.8742357655220698,1.8379921832651196,-1.712981913772332,1.3830400725404384,-2.421471619686588
João Pedro Cavaco Cancelo,https://fbref.com/req/202302030/images/headshots/bd6351cd_2022.jpg,"DF-MF (CB-FB, right)",Right,"182cm, 66kg (5-11½, 146lb)","May 27, 1994 (Age: 31-189d) in Barreiro, Portugal",Portugal pt,Al-Hilal,31,1.4359247014156546,1.0353780740433929,1.8244369729010657,0.7274119526204773,1.0445469094376274,-1.1418067146181272,1.057906745652832,0.3570351201204114
